media_source,date,country_code,earnings,cost
ByteDance,2020-07-09,US,0.0,0.0
ByteDance,2020-07-22,US,0.5,0.0
ByteDance,2020-07-23,US,0.0,0.0
ByteDance,2020-07-29,US,0.0,101.0
ByteDance,2020-07-30,US,0.0,43.28
ByteDance,2020-07-31,US,0.0,17.96
ByteDance,2020-08-01,US,0.0,5.41
ByteDance,2020-08-02,US,0.5,178.65
ByteDance,2020-08-03,US,50.99,328.73
ByteDance,2020-08-04,MX,0.5,0.0
ByteDance,2020-08-04,US,12.99,636.93
ByteDance,2020-08-05,RU,0.0,6.74
ByteDance,2020-08-05,US,3.0,660.85
ByteDance,2020-08-06,RU,0.5,41.38
ByteDance,2020-08-06,US,100.98,518.88
ByteDance,2020-08-07,RU,0.0,36.52
ByteDance,2020-08-07,US,1.0,620.09
ByteDance,2020-08-08,RU,0.0,55.59
ByteDance,2020-08-08,US,1.0,437.96
ByteDance,2020-08-09,RU,0.0,9.22
ByteDance,2020-08-09,US,1.5,337.5
ByteDance,2020-08-10,RU,0.0,0.0
ByteDance,2020-08-10,US,11.99,244.9
ByteDance,2020-08-11,MX,9.99,0.0
ByteDance,2020-08-11,RU,0.0,2.36
ByteDance,2020-08-11,US,71.47,240.86
ByteDance,2020-08-12,MX,7.99,0.0
ByteDance,2020-08-12,RU,0.0,0.0
ByteDance,2020-08-12,US,56.94,253.22
ByteDance,2020-08-13,RU,0.0,0.0
ByteDance,2020-08-13,US,9.99,247.86
ByteDance,2020-08-14,US,10.49,263.49
ByteDance,2020-08-15,US,17.98,359.24
ByteDance,2020-08-16,US,0.5,140.06
ByteDance,2020-08-17,US,0.0,146.18
ByteDance,2020-08-18,MX,9.99,0.0
ByteDance,2020-08-18,US,29.97,71.38
ByteDance,2020-08-19,US,36.96,147.87
ByteDance,2020-08-20,US,10.49,40.84
ByteDance,2020-08-21,US,9.99,48.94
ByteDance,2020-08-22,US,10.49,18.71
ByteDance,2020-08-23,US,0.0,34.05
ByteDance,2020-08-24,US,0.0,41.44
ByteDance,2020-08-25,US,30.97,109.11
ByteDance,2020-08-26,US,20.98,223.81
ByteDance,2020-08-27,DE,0.0,0.69
ByteDance,2020-08-27,PL,0.0,2.32
ByteDance,2020-08-27,RU,0.0,14.06
ByteDance,2020-08-27,US,48.96,668.55
ByteDance,2020-08-28,CA,0.0,0.05
ByteDance,2020-08-28,DE,0.0,8.16
ByteDance,2020-08-28,GB,0.0,0.0
ByteDance,2020-08-28,PL,0.0,7.15
ByteDance,2020-08-28,RU,0.0,3.36
ByteDance,2020-08-28,US,52.45,406.68
ByteDance,2020-08-29,CA,0.0,3.02
ByteDance,2020-08-29,DE,0.0,35.21
ByteDance,2020-08-29,GB,0.0,0.46
ByteDance,2020-08-29,PL,0.0,7.89
ByteDance,2020-08-29,RU,0.0,23.04
ByteDance,2020-08-29,US,15.49,502.47
ByteDance,2020-08-30,CA,0.0,0.88
ByteDance,2020-08-30,DE,0.0,6.05
ByteDance,2020-08-30,GB,0.0,0.09
ByteDance,2020-08-30,PL,0.0,4.64
ByteDance,2020-08-30,RU,0.0,8.03
ByteDance,2020-08-30,US,19.48,322.02
ByteDance,2020-08-31,CA,0.0,0.86
ByteDance,2020-08-31,DE,0.0,0.63
ByteDance,2020-08-31,GB,0.0,0.0
ByteDance,2020-08-31,PL,0.0,0.76
ByteDance,2020-08-31,RU,0.0,0.11
ByteDance,2020-08-31,US,15.99,430.39
ByteDance,2020-09-01,CA,0.0,0.09
ByteDance,2020-09-01,DE,0.0,0.0
ByteDance,2020-09-01,GB,0.0,0.0
ByteDance,2020-09-01,PL,0.0,0.0
ByteDance,2020-09-01,RU,0.0,0.0
ByteDance,2020-09-01,US,48.96,844.22
ByteDance,2020-09-02,CA,0.0,0.22
ByteDance,2020-09-02,DE,0.0,6.6
ByteDance,2020-09-02,GB,0.0,2.53
ByteDance,2020-09-02,PL,0.0,3.89
ByteDance,2020-09-02,US,279.89,1254.51
ByteDance,2020-09-03,CA,0.0,11.97
ByteDance,2020-09-03,DE,0.0,3.62
ByteDance,2020-09-03,GB,0.0,50.33
ByteDance,2020-09-03,PL,0.0,5.63
ByteDance,2020-09-03,US,195.31,707.47
ByteDance,2020-09-04,CA,0.0,12.52
ByteDance,2020-09-04,GB,0.0,44.98
ByteDance,2020-09-04,PL,0.0,12.4
ByteDance,2020-09-04,RU,0.0,0.0
ByteDance,2020-09-04,US,169.38,1107.05
ByteDance,2020-09-05,CA,0.0,0.61
ByteDance,2020-09-05,GB,0.0,1.18
ByteDance,2020-09-05,PL,0.0,3.24
ByteDance,2020-09-05,US,99.91,1093.45
ByteDance,2020-09-06,CA,0.0,0.0
ByteDance,2020-09-06,DE,0.0,0.0
ByteDance,2020-09-06,GB,0.0,0.04
ByteDance,2020-09-06,PL,0.0,1.02
ByteDance,2020-09-06,US,97.45,952.86
ByteDance,2020-09-07,CA,0.0,13.5
ByteDance,2020-09-07,GB,0.0,0.0
ByteDance,2020-09-07,PL,0.0,0.18
ByteDance,2020-09-07,US,214.37,1629.23
ByteDance,2020-09-08,CA,0.0,13.69
ByteDance,2020-09-08,RU,19.98,696.31
ByteDance,2020-09-08,US,188.86,1445.52
ByteDance,2020-09-09,CA,0.0,1.39
ByteDance,2020-09-09,RU,2.0,285.57
ByteDance,2020-09-09,US,183.82,1392.73
ByteDance,2020-09-10,CA,0.0,14.51
ByteDance,2020-09-10,DE,0.0,65.11
ByteDance,2020-09-10,GB,0.0,26.34
ByteDance,2020-09-10,PL,0.0,21.0
ByteDance,2020-09-10,RU,8.49,136.17
ByteDance,2020-09-10,US,233.27,1122.65
ByteDance,2020-09-11,CA,0.0,8.94
ByteDance,2020-09-11,DE,0.0,31.21
ByteDance,2020-09-11,GB,0.0,15.91
ByteDance,2020-09-11,PL,0.0,12.26
ByteDance,2020-09-11,RU,0.0,0.0
ByteDance,2020-09-11,US,180.32,328.08
ByteDance,2020-09-12,CA,0.0,2.42
ByteDance,2020-09-12,DE,0.0,3.44
ByteDance,2020-09-12,GB,0.0,0.24
ByteDance,2020-09-12,PL,0.0,1.84
ByteDance,2020-09-12,RU,0.0,0.0
ByteDance,2020-09-12,US,224.81,38.91
ByteDance,2020-09-13,PL,0.0,0.0
ByteDance,2020-09-13,RU,0.0,0.0
ByteDance,2020-09-13,US,108.89,151.65
ByteDance,2020-09-14,PL,0.0,0.0
ByteDance,2020-09-14,RU,0.0,0.0
ByteDance,2020-09-14,US,78.42,102.02
ByteDance,2020-09-15,DE,0.0,0.0
ByteDance,2020-09-15,RU,0.0,0.0
ByteDance,2020-09-15,US,186.31,3.06
ByteDance,2020-09-16,GB,0.0,0.0
ByteDance,2020-09-16,RU,0.0,0.0
ByteDance,2020-09-16,US,219.77,25.56
ByteDance,2020-09-17,US,269.77,2.54
ByteDance,2020-09-18,US,129.87,0.17
ByteDance,2020-09-19,US,155.84,0.77
ByteDance,2020-09-20,US,97.9,0.0
ByteDance,2020-09-21,US,39.96,10.46
ByteDance,2020-09-22,US,138.86,63.54
ByteDance,2020-09-23,CA,0.0,16.41
ByteDance,2020-09-23,DE,0.0,10.73
ByteDance,2020-09-23,GB,0.0,19.17
ByteDance,2020-09-23,PL,0.0,7.97
ByteDance,2020-09-23,RU,0.0,9.83
ByteDance,2020-09-23,US,163.83,1.45
ByteDance,2020-09-24,CA,0.0,14.03
ByteDance,2020-09-24,DE,0.0,21.66
ByteDance,2020-09-24,GB,0.0,31.2
ByteDance,2020-09-24,PL,0.0,10.84
ByteDance,2020-09-24,RU,0.5,44.99
ByteDance,2020-09-24,US,219.78,6.8
ByteDance,2020-09-25,CA,0.0,28.61
ByteDance,2020-09-25,DE,0.0,22.56
ByteDance,2020-09-25,GB,0.0,32.21
ByteDance,2020-09-25,PL,0.0,3.27
ByteDance,2020-09-25,RU,7.99,14.76
ByteDance,2020-09-25,US,140.36,11.64
ByteDance,2020-09-26,CA,0.5,35.93
ByteDance,2020-09-26,DE,0.0,0.0
ByteDance,2020-09-26,GB,0.0,28.33
ByteDance,2020-09-26,PL,0.0,0.0
ByteDance,2020-09-26,RU,0.0,0.0
ByteDance,2020-09-26,US,137.86,0.0
ByteDance,2020-09-27,CA,0.5,29.31
ByteDance,2020-09-27,DE,0.0,0.0
ByteDance,2020-09-27,GB,0.0,39.23
ByteDance,2020-09-27,US,117.88,0.0
ByteDance,2020-09-28,CA,10.49,22.0
ByteDance,2020-09-28,DE,0.0,0.0
ByteDance,2020-09-28,GB,0.0,66.52
ByteDance,2020-09-28,RU,0.0,0.0
ByteDance,2020-09-28,US,39.96,0.0
ByteDance,2020-09-29,CA,0.0,0.0
ByteDance,2020-09-29,GB,0.0,0.0
ByteDance,2020-09-29,RU,0.0,0.0
ByteDance,2020-09-29,US,118.38,0.0
ByteDance,2020-09-30,CA,0.0,4.98
ByteDance,2020-09-30,DE,0.0,11.29
ByteDance,2020-09-30,GB,0.0,2.06
ByteDance,2020-09-30,PL,0.0,11.2
ByteDance,2020-09-30,RU,0.0,24.98
ByteDance,2020-09-30,US,91.9,0.02
Facebook Ads,2020-07-01,BR,21.98,249.99
Facebook Ads,2020-07-01,CA,9.99,108.74
Facebook Ads,2020-07-01,DE,2.0,50.67
Facebook Ads,2020-07-01,GB,0.0,111.24
Facebook Ads,2020-07-01,HK,12.49,93.2
Facebook Ads,2020-07-01,MX,0.5,27.8
Facebook Ads,2020-07-01,PL,0.0,42.21
Facebook Ads,2020-07-01,RU,1.0,41.28
Facebook Ads,2020-07-01,US,343.91,810.0
Facebook Ads,2020-07-02,BR,22.98,91.21
Facebook Ads,2020-07-02,CA,9.99,116.84
Facebook Ads,2020-07-02,DE,1.0,56.16
Facebook Ads,2020-07-02,GB,0.0,136.26
Facebook Ads,2020-07-02,HK,2.0,64.73
Facebook Ads,2020-07-02,MX,50.49,30.93
Facebook Ads,2020-07-02,PL,11.99,52.49
Facebook Ads,2020-07-02,RU,8.49,37.31
Facebook Ads,2020-07-02,US,202.43,820.49
Facebook Ads,2020-07-03,BR,151.47,138.66
Facebook Ads,2020-07-03,CA,11.99,104.55
Facebook Ads,2020-07-03,DE,1.5,44.27
Facebook Ads,2020-07-03,GB,0.0,147.69
Facebook Ads,2020-07-03,HK,151.47,73.09
Facebook Ads,2020-07-03,MX,0.0,27.81
Facebook Ads,2020-07-03,PL,1.0,77.66
Facebook Ads,2020-07-03,RU,1.0,38.7
Facebook Ads,2020-07-03,US,423.87,965.53
Facebook Ads,2020-07-04,BR,61.980000000000004,169.86
Facebook Ads,2020-07-04,CA,51.49,97.28
Facebook Ads,2020-07-04,DE,0.0,42.1
Facebook Ads,2020-07-04,GB,0.0,121.9
Facebook Ads,2020-07-04,HK,12.49,78.19
Facebook Ads,2020-07-04,MX,62.980000000000004,60.97
Facebook Ads,2020-07-04,PL,1.5,30.7
Facebook Ads,2020-07-04,RU,0.0,18.0
Facebook Ads,2020-07-04,US,94.96000000000001,1129.41
Facebook Ads,2020-07-05,BR,51.49,154.53
Facebook Ads,2020-07-05,CA,9.49,80.36
Facebook Ads,2020-07-05,DE,13.49,72.53
Facebook Ads,2020-07-05,GB,0.0,146.86
Facebook Ads,2020-07-05,HK,2.0,51.17
Facebook Ads,2020-07-05,MX,2.5,30.39
Facebook Ads,2020-07-05,PL,67.48,210.27
Facebook Ads,2020-07-05,RU,0.0,10.09
Facebook Ads,2020-07-05,US,371.38,957.83
Facebook Ads,2020-07-06,BR,61.480000000000004,115.26
Facebook Ads,2020-07-06,CA,61.980000000000004,122.22
Facebook Ads,2020-07-06,DE,1.0,49.58
Facebook Ads,2020-07-06,GB,0.0,94.68
Facebook Ads,2020-07-06,HK,101.48,72.26
Facebook Ads,2020-07-06,MX,1.0,37.91
Facebook Ads,2020-07-06,PL,1.0,63.92
Facebook Ads,2020-07-06,RU,0.5,18.77
Facebook Ads,2020-07-06,US,272.41,1227.82
Facebook Ads,2020-07-07,BR,3.0,130.63
Facebook Ads,2020-07-07,CA,12.49,114.6
Facebook Ads,2020-07-07,DE,8.49,31.73
Facebook Ads,2020-07-07,GB,0.0,66.27
Facebook Ads,2020-07-07,HK,103.48,214.12
Facebook Ads,2020-07-07,MX,1.0,38.53
Facebook Ads,2020-07-07,PL,1.0,30.37
Facebook Ads,2020-07-07,RU,1.0,39.91
Facebook Ads,2020-07-07,US,704.77,1375.09
Facebook Ads,2020-07-08,BR,28.47,114.05
Facebook Ads,2020-07-08,CA,22.48,61.64
Facebook Ads,2020-07-08,DE,30.47,33.64
Facebook Ads,2020-07-08,GB,0.0,54.05
Facebook Ads,2020-07-08,HK,27.47,12.77
Facebook Ads,2020-07-08,MX,1.5,20.74
Facebook Ads,2020-07-08,PL,1.0,48.49
Facebook Ads,2020-07-08,RU,21.98,61.34
Facebook Ads,2020-07-08,US,289.77,1311.86
Facebook Ads,2020-07-09,BR,31.97,125.94
Facebook Ads,2020-07-09,CA,68.47,70.09
Facebook Ads,2020-07-09,DE,21.98,43.0
Facebook Ads,2020-07-09,GB,0.0,90.92
Facebook Ads,2020-07-09,HK,35.96,36.31
Facebook Ads,2020-07-09,MX,21.48,17.5
Facebook Ads,2020-07-09,PL,11.99,44.91
Facebook Ads,2020-07-09,RU,59.980000000000004,56.3
Facebook Ads,2020-07-09,US,714.1600000000001,1881.78
Facebook Ads,2020-07-10,BR,60.980000000000004,104.33
Facebook Ads,2020-07-10,CA,2.5,79.07
Facebook Ads,2020-07-10,DE,9.49,64.38
Facebook Ads,2020-07-10,GB,0.0,79.48
Facebook Ads,2020-07-10,HK,29.47,42.21
Facebook Ads,2020-07-10,MX,0.0,27.47
Facebook Ads,2020-07-10,PL,10.99,52.14
Facebook Ads,2020-07-10,RU,11.99,57.07
Facebook Ads,2020-07-10,US,486.23,1480.51
Facebook Ads,2020-07-11,BR,110.93,133.81
Facebook Ads,2020-07-11,CA,1.0,54.36
Facebook Ads,2020-07-11,DE,50.99,58.72
Facebook Ads,2020-07-11,GB,0.0,43.9
Facebook Ads,2020-07-11,HK,85.95,26.19
Facebook Ads,2020-07-11,MX,10.49,21.44
Facebook Ads,2020-07-11,PL,2.0,47.63
Facebook Ads,2020-07-11,RU,1.5,54.0
Facebook Ads,2020-07-11,US,529.27,1604.64
Facebook Ads,2020-07-12,BR,122.46000000000001,337.78
Facebook Ads,2020-07-12,CA,83.46000000000001,136.84
Facebook Ads,2020-07-12,DE,73.97,120.79
Facebook Ads,2020-07-12,GB,0.0,122.88
Facebook Ads,2020-07-12,HK,12.49,62.99
Facebook Ads,2020-07-12,MX,1.5,40.19
Facebook Ads,2020-07-12,PL,141.94,106.0
Facebook Ads,2020-07-12,RU,4.0,111.82
Facebook Ads,2020-07-12,US,544.21,1594.37
Facebook Ads,2020-07-13,BR,52.45,102.03
Facebook Ads,2020-07-13,CA,50.45,172.68
Facebook Ads,2020-07-13,DE,11.49,132.07
Facebook Ads,2020-07-13,GB,0.0,95.49
Facebook Ads,2020-07-13,HK,50.99,67.21
Facebook Ads,2020-07-13,MX,51.49,53.52
Facebook Ads,2020-07-13,PL,10.49,74.45
Facebook Ads,2020-07-13,RU,0.5,36.7
Facebook Ads,2020-07-13,US,678.98,1502.7
Facebook Ads,2020-07-14,BR,50.95,73.27
Facebook Ads,2020-07-14,CA,30.97,132.3
Facebook Ads,2020-07-14,DE,1.5,114.6
Facebook Ads,2020-07-14,GB,0.0,55.45
Facebook Ads,2020-07-14,HK,111.43,75.25
Facebook Ads,2020-07-14,MX,11.49,52.17
Facebook Ads,2020-07-14,PL,12.99,66.09
Facebook Ads,2020-07-14,RU,31.47,32.28
Facebook Ads,2020-07-14,US,759.48,1561.41
Facebook Ads,2020-07-15,BR,45.45,105.7
Facebook Ads,2020-07-15,CA,63.94,126.04
Facebook Ads,2020-07-15,DE,80.96000000000001,110.3
Facebook Ads,2020-07-15,GB,0.0,52.38
Facebook Ads,2020-07-15,HK,45.95,34.33
Facebook Ads,2020-07-15,MX,1.5,50.49
Facebook Ads,2020-07-15,PL,53.49,100.5
Facebook Ads,2020-07-15,RU,32.97,79.97
Facebook Ads,2020-07-15,US,600.03,1549.59
Facebook Ads,2020-07-16,BR,48.45,111.21
Facebook Ads,2020-07-16,CA,25.48,326.94
Facebook Ads,2020-07-16,DE,222.44,132.35
Facebook Ads,2020-07-16,GB,0.0,89.42
Facebook Ads,2020-07-16,HK,62.480000000000004,164.26
Facebook Ads,2020-07-16,MX,17.98,103.2
Facebook Ads,2020-07-16,PL,43.96,162.31
Facebook Ads,2020-07-16,RU,122.46000000000001,169.86
Facebook Ads,2020-07-16,US,968.34,1946.43
Facebook Ads,2020-07-17,BR,30.97,278.14
Facebook Ads,2020-07-17,CA,82.93,700.45
Facebook Ads,2020-07-17,DE,128.41,315.47
Facebook Ads,2020-07-17,GB,0.0,126.6
Facebook Ads,2020-07-17,HK,99.44,224.56
Facebook Ads,2020-07-17,MX,1.5,219.99
Facebook Ads,2020-07-17,PL,44.46,255.32
Facebook Ads,2020-07-17,RU,40.46,180.97
Facebook Ads,2020-07-17,US,1218.82,4053.68
Facebook Ads,2020-07-18,BR,84.42,277.67
Facebook Ads,2020-07-18,CA,11.49,200.18
Facebook Ads,2020-07-18,DE,153.97,132.92
Facebook Ads,2020-07-18,GB,0.0,54.28
Facebook Ads,2020-07-18,HK,61.980000000000004,102.17
Facebook Ads,2020-07-18,MX,84.46000000000001,269.23
Facebook Ads,2020-07-18,PL,10.99,111.52
Facebook Ads,2020-07-18,RU,11.99,98.98
Facebook Ads,2020-07-18,US,870.4300000000001,3171.68
Facebook Ads,2020-07-19,BR,192.38,259.74
Facebook Ads,2020-07-19,CA,211.41,410.3
Facebook Ads,2020-07-19,DE,52.45,161.34
Facebook Ads,2020-07-19,GB,0.0,75.78
Facebook Ads,2020-07-19,HK,73.47,159.9
Facebook Ads,2020-07-19,MX,110.93,343.0
Facebook Ads,2020-07-19,PL,111.43,223.94
Facebook Ads,2020-07-19,RU,32.97,235.9
Facebook Ads,2020-07-19,US,1159.22,3698.57
Facebook Ads,2020-07-20,BR,102.44,261.84
Facebook Ads,2020-07-20,CA,69.93,439.14
Facebook Ads,2020-07-20,DE,59.44,117.53
Facebook Ads,2020-07-20,GB,0.0,100.72
Facebook Ads,2020-07-20,HK,20.98,73.55
Facebook Ads,2020-07-20,MX,4.0,314.93
Facebook Ads,2020-07-20,PL,62.980000000000004,134.22
Facebook Ads,2020-07-20,RU,68.48,505.81
Facebook Ads,2020-07-20,US,1769.93,5198.32
Facebook Ads,2020-07-21,BR,303.86,780.88
Facebook Ads,2020-07-21,CA,191.39000000000001,456.42
Facebook Ads,2020-07-21,DE,56.45,383.27
Facebook Ads,2020-07-21,GB,0.0,99.53
Facebook Ads,2020-07-21,HK,96.94,137.67
Facebook Ads,2020-07-21,MX,73.47,288.9
Facebook Ads,2020-07-21,PL,114.97,167.29
Facebook Ads,2020-07-21,RU,20.48,96.59
Facebook Ads,2020-07-21,US,1519.16,6519.21
Facebook Ads,2020-07-22,BR,37.96,374.99
Facebook Ads,2020-07-22,CA,113.43,402.71
Facebook Ads,2020-07-22,DE,31.97,247.47
Facebook Ads,2020-07-22,GB,0.0,87.43
Facebook Ads,2020-07-22,HK,64.93,167.83
Facebook Ads,2020-07-22,MX,229.93,277.0
Facebook Ads,2020-07-22,PL,1.0,105.62
Facebook Ads,2020-07-22,RU,53.95,172.17
Facebook Ads,2020-07-22,US,1872.48,5589.54
Facebook Ads,2020-07-23,BR,253.37,432.89
Facebook Ads,2020-07-23,CA,141.4,115.72
Facebook Ads,2020-07-23,DE,21.98,135.93
Facebook Ads,2020-07-23,GB,0.0,81.05
Facebook Ads,2020-07-23,HK,39.46,72.17
Facebook Ads,2020-07-23,MX,19.48,208.07
Facebook Ads,2020-07-23,PL,155.43,188.42
Facebook Ads,2020-07-23,RU,120.88,725.54
Facebook Ads,2020-07-23,US,1607.54,3372.75
Facebook Ads,2020-07-24,BR,172.96,746.04
Facebook Ads,2020-07-24,CA,132.36,107.49
Facebook Ads,2020-07-24,DE,124.91,78.03
Facebook Ads,2020-07-24,GB,0.0,65.94
Facebook Ads,2020-07-24,HK,95.44,61.16
Facebook Ads,2020-07-24,MX,82.46000000000001,111.3
Facebook Ads,2020-07-24,PL,125.91,143.3
Facebook Ads,2020-07-24,RU,38.46,215.97
Facebook Ads,2020-07-24,US,1507.92,2785.14
Facebook Ads,2020-07-25,BR,95.9,248.48
Facebook Ads,2020-07-25,CA,74.92,67.1
Facebook Ads,2020-07-25,DE,11.99,31.37
Facebook Ads,2020-07-25,GB,0.0,72.05
Facebook Ads,2020-07-25,HK,48.45,54.55
Facebook Ads,2020-07-25,MX,77.92,140.44
Facebook Ads,2020-07-25,PL,69.97,103.13
Facebook Ads,2020-07-25,RU,75.42,241.72
Facebook Ads,2020-07-25,US,1554.44,2754.41
Facebook Ads,2020-07-26,BR,136.36,310.49
Facebook Ads,2020-07-26,CA,117.38,122.13
Facebook Ads,2020-07-26,DE,88.45,275.67
Facebook Ads,2020-07-26,GB,0.0,60.24
Facebook Ads,2020-07-26,HK,50.95,159.53
Facebook Ads,2020-07-26,MX,93.9,177.74
Facebook Ads,2020-07-26,PL,93.41,213.41
Facebook Ads,2020-07-26,RU,86.42,468.96
Facebook Ads,2020-07-26,US,1677.89,2705.79
Facebook Ads,2020-07-27,BR,166.37,212.9
Facebook Ads,2020-07-27,CA,32.47,159.12
Facebook Ads,2020-07-27,DE,19.98,114.89
Facebook Ads,2020-07-27,GB,0.0,73.04
Facebook Ads,2020-07-27,HK,336.36,176.92
Facebook Ads,2020-07-27,MX,39.46,111.09
Facebook Ads,2020-07-27,PL,80.92,160.66
Facebook Ads,2020-07-27,RU,122.38,273.17
Facebook Ads,2020-07-27,US,2128.46,3104.21
Facebook Ads,2020-07-28,BR,146.85,127.4
Facebook Ads,2020-07-28,CA,173.36,115.68
Facebook Ads,2020-07-28,DE,90.41,58.98
Facebook Ads,2020-07-28,GB,0.0,49.7
Facebook Ads,2020-07-28,HK,42.95,161.81
Facebook Ads,2020-07-28,MX,103.43,116.08
Facebook Ads,2020-07-28,PL,61.94,173.99
Facebook Ads,2020-07-28,RU,13.49,156.49
Facebook Ads,2020-07-28,US,2613.36,3310.28
Facebook Ads,2020-07-29,BR,51.95,216.71
Facebook Ads,2020-07-29,CA,170.87,194.03
Facebook Ads,2020-07-29,DE,117.92,87.72
Facebook Ads,2020-07-29,GB,0.0,38.25
Facebook Ads,2020-07-29,HK,37.96,92.62
Facebook Ads,2020-07-29,MX,78.41,123.29
Facebook Ads,2020-07-29,PL,19.48,91.5
Facebook Ads,2020-07-29,RU,80.92,99.7
Facebook Ads,2020-07-29,US,2300.02,4057.43
Facebook Ads,2020-07-30,BR,117.38,134.66
Facebook Ads,2020-07-30,CA,62.44,143.09
Facebook Ads,2020-07-30,DE,72.47,71.43
Facebook Ads,2020-07-30,GB,0.0,52.32
Facebook Ads,2020-07-30,HK,39.96,61.27
Facebook Ads,2020-07-30,MX,37.46,101.11
Facebook Ads,2020-07-30,PL,69.93,107.68
Facebook Ads,2020-07-30,RU,276.8,139.74
Facebook Ads,2020-07-30,US,2637.31,3237.2
Facebook Ads,2020-07-31,BR,185.31,119.27
Facebook Ads,2020-07-31,CA,187.89000000000001,119.32
Facebook Ads,2020-07-31,DE,66.43,57.08
Facebook Ads,2020-07-31,GB,0.0,19.79
Facebook Ads,2020-07-31,HK,55.94,75.16
Facebook Ads,2020-07-31,MX,77.92,97.77
Facebook Ads,2020-07-31,PL,66.93,47.75
Facebook Ads,2020-07-31,RU,37.96,93.08
Facebook Ads,2020-07-31,US,1471.14,2499.95
Facebook Ads,2020-08-01,BR,121.87,102.91
Facebook Ads,2020-08-01,CA,54.44,52.9
Facebook Ads,2020-08-01,DE,0.0,18.47
Facebook Ads,2020-08-01,GB,0.0,18.38
Facebook Ads,2020-08-01,HK,58.44,225.14
Facebook Ads,2020-08-01,MX,69.43,93.82
Facebook Ads,2020-08-01,PL,29.97,29.06
Facebook Ads,2020-08-01,RU,36.46,60.13
Facebook Ads,2020-08-01,US,1702.1000000000001,2006.98
Facebook Ads,2020-08-02,BR,124.37,311.29
Facebook Ads,2020-08-02,CA,124.37,93.09
Facebook Ads,2020-08-02,DE,55.94,75.81
Facebook Ads,2020-08-02,GB,0.0,67.66
Facebook Ads,2020-08-02,HK,240.42000000000002,235.47
Facebook Ads,2020-08-02,MX,128.41,188.48
Facebook Ads,2020-08-02,PL,146.35,50.18
Facebook Ads,2020-08-02,RU,103.89,83.6
Facebook Ads,2020-08-02,US,1582.04,3103.31
Facebook Ads,2020-08-03,BR,96.9,203.96
Facebook Ads,2020-08-03,CA,86.41,109.71
Facebook Ads,2020-08-03,DE,18.98,63.05
Facebook Ads,2020-08-03,GB,0.0,65.28
Facebook Ads,2020-08-03,HK,56.44,151.4
Facebook Ads,2020-08-03,MX,50.95,220.62
Facebook Ads,2020-08-03,PL,68.43,65.56
